Entity,Code,Day,total_vaccinations_per_hundred,"GDP per capita, PPP (constant 2011 international $)",Year,Year,Continent
Albania,ALB,2021-05-08,20.77,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-09,20.88,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-10,21.34,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-11,21.67,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-12,22.02,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-13,22.22,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-14,22.74,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-17,23.67,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-18,23.98,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-19,24.29,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-20,24.5,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-21,24.67,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-23,24.94,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-24,25.24,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-26,26.07,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-27,26.42,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-30,26.88,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-31,27.03,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-01,27.16,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-03,27.4,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-06,27.8,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-07,27.97,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-08,28.19,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-09,28.42,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-10,28.65,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-11,28.9,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-12,29.06,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-13,29.11,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-14,29.33,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-15,29.53,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-16,29.73,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-17,30.03,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-20,30.66,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-21,30.98,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-22,31.38,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-23,31.77,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-24,32.12,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-28,32.84,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-29,33.26,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-06-30,33.69,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-01,33.92,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-02,34.16,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-04,34.41,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-05,34.6,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-06,34.81,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-07,35,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-08,35.2,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-09,35.38,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-10,35.55,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-11,35.6,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-12,35.83,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-13,36.05,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-14,36.32,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-15,36.62,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-16,36.9,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-17,37.14,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-18,37.22,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-20,37.68,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-21,38.13,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-22,38.63,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-25,39.64,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-29,41.06,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-30,41.45,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-07-31,41.73,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-01,41.88,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-02,42.21,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-03,42.52,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-04,42.79,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-05,43.09,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-08,43.86,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-10,44.56,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-13,45.6,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-15,45.99,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-16,46.32,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-17,46.65,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-19,47.28,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-21,47.8,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-08-22,47.92,11803.4305936025,2017,2015,Europe
